rank,name,division,years_career,stance,total,win,losses,draws,win_perc,nationality,residence
1,Ezzard Charles,light heavy ,19,orthodox ,121,95,25,1,79.0, USA,"Cincinnati, USA"
2,Floyd Mayweather Jr,welter ,21,orthodox ,50,50,0,0,100.0, USA,"Las Vegas, USA"
3,Archie Moore,light heavy ,28,orthodox ,219,186,23,10,85.0, USA,"San Diego, USA"
4,Ray Robinson,middle ,25,orthodox ,199,174,19,6,87.0, USA,"Harlem, USA"
5,Manny Pacquiao,welter ,24,southpaw ,71,62,7,2,87.0, Philippines,"General Santos City, Philippines"
6,Bernard Hopkins,middle ,28,orthodox ,65,55,8,2,85.0, USA,"Hockessin, USA"
7,Joe Louis,heavy ,17,orthodox ,70,67,3,0,96.0, USA,"Detroit, USA"
8,Joe Calzaghe,super middle ,15,southpaw ,46,46,0,0,100.0, United Kingdom,"Newbridge, United Kingdom"
9,Harry Greb,middle ,13,orthodox ,297,261,18,18,88.0, USA,"Pittsburgh, USA"
10,Andre Ward,super middle ,13,orthodox ,32,32,0,0,100.0, USA,"Oakland, USA"
11,Henry Armstrong,welter ,14,orthodox ,183,152,22,9,83.0, USA,"Los Angeles, USA"
12,Juan Manuel Marquez,feather ,21,orthodox ,64,56,7,1,88.0, Mexico,"Mexico City, Mexico"
13,Billy Conn,light heavy ,14,orthodox ,76,64,11,1,84.0, USA,"Pittsburgh, USA"
14,Muhammad Ali,heavy ,21,orthodox ,61,56,5,0,92.0, USA,"Louisville, USA"
15,Oscar De La Hoya,welter ,16,orthodox ,45,39,6,0,87.0, USA,"Los Angeles, USA"
16,Roy Jones Jr,light heavy ,29,orthodox ,75,66,9,0,88.0, USA,"Pensacola, USA"
17,Wladimir Klitschko,heavy ,21,orthodox ,69,64,5,0,93.0, Ukraine,"Kiev, Ukraine"
18,Saul Alvarez,middle ,14,orthodox ,56,53,1,2,95.0, Mexico,"Guadalajara, Mexico"
19,Barney Ross,welter ,9,orthodox ,81,74,4,3,91.0, USA,"Chicago, USA"
20,Felix Trinidad,welter ,18,orthodox ,45,42,3,0,93.0, Puerto Rico,"San Juan, Puerto Rico"
21,Jack Carroll,welter ,15,orthodox ,98,84,10,4,86.0, Australia,"Melbourne, Australia"
22,Rocky Marciano,heavy ,8,orthodox ,49,49,0,0,100.0, USA,"Brockton, USA"
23,Ray Leonard,welter ,20,orthodox ,40,36,3,1,90.0, USA,"Palmer Park, USA"
24,Gennadiy Golovkin,middle ,13,orthodox ,42,40,1,1,95.0, USA,"Los Angeles, USA"
25,Julio Cesar Chavez,super light ,25,orthodox ,115,107,6,2,93.0, Mexico,"Culiacan, Mexico"
26,Marcel Thil,middle ,15,,136,106,20,10,78.0, France,"Cannes, France"
27,Marvin Hagler,middle ,14,southpaw ,67,62,3,2,93.0, USA,"Brockton, USA"
28,Sonny Liston,heavy ,17,orthodox ,54,50,4,0,93.0, USA,"Saint Louis, USA"
29,Charley Burley,middle ,14,orthodox ,97,83,12,2,86.0, USA,"Pittsburgh, USA"
30,Randolph Turpin,middle ,18,orthodox ,75,66,8,1,88.0, United Kingdom,"Leamington, United Kingdom"
31,Willie Pep,feather ,26,orthodox ,241,229,11,1,95.0, USA,"Rocky Hill, USA"
32,Nino Benvenuti,middle ,10,orthodox ,90,82,7,1,91.0, Italy,"Trieste, Italy"
33,Carlos Monzon,middle ,14,orthodox ,99,87,3,9,88.0, Argentina,"Santa Fe, Argentina"
34,Carl Froch,super middle ,12,orthodox ,35,33,2,0,94.0, United Kingdom,"Nottingham, United Kingdom"
35,Lennox Lewis,heavy ,14,orthodox ,44,41,2,1,93.0, United Kingdom,"West Ham, United Kingdom"
36,Luis Rodriguez,welter ,16,orthodox ,120,107,13,0,89.0, USA,"Miami, USA"
37,Ike Williams,light ,15,orthodox ,157,128,24,5,82.0, USA,"Trenton, USA"
38,Freddie Steele,middle ,15,orthodox ,139,123,5,11,88.0, USA,"Tacoma, USA"
39,Jimmy McLarnin,welter ,13,orthodox ,69,55,11,3,80.0, USA,"Glendale, USA"
40,Duilio Loi,welter ,14,orthodox ,126,115,3,8,91.0, Italy,"Milan, Italy"
41,Dave Sands,middle ,11,orthodox ,98,87,10,1,89.0, Australia,"Newcastle, Australia"
42,Ronald Wright,super welter ,22,southpaw ,58,51,6,1,88.0, USA,"Saint Petersburg, USA"
43,Young Corbett III,welter ,21,southpaw ,155,123,12,20,79.0, USA,"Fresno, USA"
44,Charles Humez,middle ,10,orthodox ,102,94,7,1,92.0, France,"Mericourt, France"
45,Michael Spinks,light heavy ,11,orthodox ,32,31,1,0,97.0, USA,"Saint Louis, USA"
46,Benny Leonard,light ,21,orthodox ,216,185,22,9,86.0, USA,"New York, USA"
47,Mikkel Kessler,super middle ,15,orthodox ,49,46,3,0,94.0,Denmark,Denmark
48,Harold Johnson,light heavy ,25,orthodox ,87,76,11,0,87.0, USA,"Manayunk, USA"
49,Ricky Hatton,super light ,15,orthodox ,48,45,3,0,94.0, United Kingdom,"Manchester, United Kingdom"
50,Kostya Tszyu,super light ,13,orthodox ,33,31,2,0,94.0, Australia,"Sydney, Australia"
51,Fred Apostoli,middle ,14,orthodox ,72,61,10,1,85.0, USA,"San Francisco, USA"
52,Holman Williams,middle ,16,orthodox ,188,146,31,11,78.0, USA,"Detroit, USA"
53,Gustav Scholz,middle ,16,southpaw ,96,88,2,6,92.0,Germany,Germany
54,Roberto Duran,light ,33,orthodox ,119,103,16,0,87.0, Panama,"Panama City, Panama"
55,Bobo Olson,middle ,22,orthodox ,115,97,16,2,84.0, USA,"Honolulu, USA"
56,Jose Napoles,welter ,17,orthodox ,88,81,7,0,92.0, Mexico,"Ciudad Juarez, Mexico"
57,Pedro Montanez,light ,9,orthodox ,103,91,8,4,88.0, Puerto Rico,"Cayey, Puerto Rico"
58,Jackie Fields,welter ,8,,85,74,9,2,87.0, USA,"Los Angeles, USA"
59,Dariusz Michalczewski,light heavy ,14,orthodox ,50,48,2,0,96.0, Poland,"Gdansk, Poland"
60,Miguel Cotto,welter ,16,,47,41,6,0,87.0, Puerto Rico,"Caguas, Puerto Rico"
61,Gene Tunney,heavy ,13,orthodox ,84,79,1,4,94.0, USA,"Greenwich, USA"
62,John Henry Lewis,light heavy ,10,orthodox ,116,100,11,5,86.0, USA,"Phoenix, USA"
63,Marcel Cerdan,middle ,15,,114,110,4,0,96.0, France,"Paris, France"
64,Eddie Booker,middle ,9,orthodox ,79,66,5,8,84.0, USA,"San Jose, USA"
65,Tony Canzoneri,light ,14,orthodox ,175,141,24,10,81.0, USA,"New York, USA"
66,Ceferino Garcia,middle ,22,orthodox ,164,120,30,14,73.0, USA,"Los Angeles, USA"
67,Joey Maxim,light heavy ,17,orthodox ,116,83,29,4,72.0, USA,"Cleveland, USA"
68,Riddick Bowe,heavy ,19,orthodox ,44,43,1,0,98.0, USA,"Fort Washington, USA"
69,Tami Mauriello,light heavy ,10,orthodox ,96,82,13,1,85.0, USA,"Bronx, USA"
70,Carlos Ortiz,light ,17,orthodox ,69,61,7,1,88.0, USA,"New York, USA"
71,Paul Williams,welter ,12,southpaw ,43,41,2,0,95.0, USA,"Aiken, USA"
72,Mike McCallum,super welter ,16,orthodox ,55,49,5,1,89.0, USA,"New York, USA"
73,Shane Mosley,welter ,23,orthodox ,60,49,10,1,82.0, USA,"Pomona, USA"
74,Harry Matthews,light heavy ,19,orthodox ,103,90,7,6,87.0, USA,"Seattle, USA"
75,Mike Tyson,heavy ,20,orthodox ,56,50,6,0,89.0, USA,"Henderson, USA"
76,Davey Moore,feather ,10,orthodox ,67,59,7,1,88.0, USA,"Springfield, USA"
77,Jimmy Bivins,heavy ,15,orthodox ,112,86,25,1,77.0, USA,"Cleveland, USA"
78,Jake LaMotta,middle ,13,orthodox ,106,83,19,4,78.0, USA,"Bronx, USA"
79,Lloyd Marshall,middle ,15,orthodox ,99,70,25,4,71.0, USA,"Cleveland, USA"
80,Bruno Arcari,super light ,14,southpaw ,73,70,2,1,96.0, Italy,"Genoa, Italy"
81,Freddie Miller,feather ,13,southpaw ,248,211,30,7,85.0, USA,"Cincinnati, USA"
82,Sergio Martinez,middle ,23,southpaw ,57,52,3,2,91.0, Spain,"Madrid, Spain"
83,Nicolino Locche,super light ,18,orthodox ,135,117,4,14,87.0, Argentina,"Buenos Aires, Argentina"
84,Kelly Pavlik,middle ,12,orthodox ,42,40,2,0,95.0, USA,"Youngstown, USA"
85,Tommy Loughran,light heavy ,18,orthodox ,169,124,32,13,73.0, USA,"Philadelphia, USA"
86,Mickey Walker,middle ,16,orthodox ,162,131,25,6,81.0, USA,"Elizabeth, USA"
87,Sandy Saddler,feather ,12,orthodox ,163,145,16,2,89.0, USA,"Boston, USA"
88,Laszlo Papp,middle ,7,southpaw ,29,27,0,2,93.0, Hungary,"Budapest, Hungary"
89,Marco Antonio Barrera,super bantam ,22,orthodox ,74,67,7,0,91.0, Mexico,"Guadalajara, Mexico"
90,Lou Ambers,light ,9,orthodox ,106,91,8,7,86.0, USA,"Herkimer, USA"
91,Evander Holyfield,heavy ,27,orthodox ,56,44,10,2,79.0, USA,"Atlanta, USA"
92,Thomas Hearns,super welter ,29,orthodox ,67,61,5,1,91.0, USA,"Detroit, USA"
93,Michael Nunn,middle ,18,southpaw ,62,58,4,0,94.0, USA,"Davenport, USA"
94,Vicente Saldivar,feather ,12,southpaw ,40,37,3,0,92.0, Mexico,"Mexico City, Mexico"
95,James Toney,middle ,29,orthodox ,90,77,10,3,86.0, USA,"Sherman Oaks, USA"
96,Antonio Margarito,welter ,23,orthodox ,49,41,8,0,84.0, Mexico,"Tijuana, Mexico"
97,Kid Gavilan,welter ,15,orthodox ,143,108,30,5,76.0, Cuba,"Havana, Cuba"
98,Johnny Indrisano,welter ,11,orthodox ,62,50,9,3,81.0, USA,"Boston, USA"
99,Vitali Klitschko,heavy ,16,orthodox ,47,45,2,0,96.0, Ukraine,"Kiev, Ukraine"
100,Naseem Hamed,feather ,10,southpaw ,37,36,1,0,97.0, United Kingdom,"Sheffield, United Kingdom"
101,Max Schmeling,heavy ,24,orthodox ,71,57,10,4,80.0, Germany,"Wenzerdorf, Germany"
102,Floyd Patterson,heavy ,20,orthodox ,64,55,8,1,86.0, USA,"Waco, USA"
103,Pernell Whitaker,light ,17,southpaw ,45,40,4,1,89.0, USA,"Norfolk, USA"
104,Joe Frazier,heavy ,16,orthodox ,37,32,4,1,86.0, USA,"Philadelphia, USA"
105,George Foreman,heavy ,28,orthodox ,81,76,5,0,94.0, USA,"Marshall, USA"
